Place;Date;Subscribed;Finished game;Subscribe check in;Came Check in;Subscribed piscine Juillet;Subscribed piscine august;Subscribed piscine october;Subscribed piscine january;Subscribed piscine april;Subscribed piscine july;Subscribed piscine august;Subscribed piscine october;Subscribed piscine january;Subscribed piscine march;Subscribed piscine may;Subscribed piscine june;Subscribed piscine july;Subscribed piscine august;Subscribed piscine october
Fremont;01/01/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;01/08/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;01/15/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;01/22/2015;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;01/29/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;02/05/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;02/12/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;02/19/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;02/26/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;03/05/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;03/12/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;03/19/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;03/26/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;04/02/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;04/09/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;04/16/2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;04/23/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;04/30/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;05/07/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;05/14/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;05/21/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;05/28/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;06/04/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;06/11/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;06/18/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;06/25/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;07/02/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;07/09/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;07/16/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;07/23/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;07/30/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fremont;08/06/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
