Date;Finished game;Place
01/01/2015;303;Paris
01/08/2015;308;Paris
01/15/2015;311;Paris
01/22/2015;362;Paris
01/29/2015;333;Paris
02/05/2015;299;Paris
02/12/2015;513;Paris
02/19/2015;449;Paris
02/26/2015;412;Paris
03/05/2015;398;Paris
03/12/2015;507;Paris
03/19/2015;382;Paris
03/26/2015;407;Paris
04/02/2015;265;Paris
04/09/2015;264;Paris
04/16/2015;248;Paris
04/23/2015;251;Paris
04/30/2015;215;Paris
05/07/2015;237;Paris
05/14/2015;233;Paris
05/21/2015;251;Paris
05/28/2015;261;Paris
06/04/2015;221;Paris
06/11/2015;189;Paris
06/18/2015;189;Paris
06/25/2015;327;Paris
07/02/2015;176;Paris
07/09/2015;333;Paris
07/16/2015;234;Paris
07/23/2015;318;Paris
07/30/2015;260;Paris
08/06/2015;185;Paris
08/13/2015;230;Paris
08/20/2015;196;Paris
08/27/2015;269;Paris
09/03/2015;225;Paris
09/10/2015;210;Paris
09/17/2015;253;Paris
09/24/2015;212;Paris
10/01/2015;52;Paris
10/08/2015;249;Paris
10/15/2015;205;Paris
10/22/2015;207;Paris
10/29/2015;247;Paris
11/05/2015;206;Paris
11/12/2015;157;Paris
11/19/2015;179;Paris
11/26/2015;254;Paris
12/03/2015;217;Paris
12/10/2015;178;Paris
12/17/2015;134;Paris
12/24/2015;118;Paris
12/31/2015;231;Paris
01/07/2016;239;Paris
01/14/2016;228;Paris
01/21/2016;193;Paris
01/28/2016;273;Paris
02/04/2016;257;Paris
02/11/2016;230;Paris
02/18/2016;221;Paris
02/25/2016;263;Paris
03/03/2016;277;Paris
03/10/2016;320;Paris
03/17/2016;316;Paris
03/24/2016;292;Paris
03/31/2016;287;Paris
04/07/2016;298;Paris
04/14/2016;256;Paris
04/21/2016;6434;Paris
04/28/2016;264;Paris
05/05/2016;263;Paris
05/12/2016;420;Paris
05/19/2016;689;Paris
05/26/2016;422;Paris
06/02/2016;389;Paris
06/09/2016;385;Paris
06/16/2016;344;Paris
06/23/2016;315;Paris
06/30/2016;274;Paris
07/07/2016;225;Paris
07/14/2016;198;Paris
07/21/2016;192;Paris
07/28/2016;196;Paris
08/04/2016;172;Paris
08/11/2016;212;Paris
08/18/2016;239;Paris
08/25/2016;239;Paris
09/01/2016;252;Paris
09/08/2016;303;Paris
09/15/2016;244;Paris
09/22/2016;236;Paris
09/29/2016;231;Paris
10/06/2016;236;Paris
10/13/2016;211;Paris
10/20/2016;200;Paris
10/27/2016;230;Paris
11/03/2016;198;Paris
11/10/2016;235;Paris
11/17/2016;193;Paris
11/24/2016;200;Paris
12/01/2016;244;Paris
12/08/2016;209;Paris
12/15/2016;153;Paris
12/22/2016;151;Paris
12/29/2016;204;Paris
01/05/2017;242;Paris
01/12/2017;313;Paris
01/19/2017;362;Paris
01/26/2017;305;Paris
02/02/2017;298;Paris
02/09/2017;444;Paris
02/16/2017;779;Paris
02/23/2017;464;Paris
03/02/2017;484;Paris
03/09/2017;400;Paris
03/16/2017;385;Paris
03/23/2017;339;Paris
03/30/2017;372;Paris
04/06/2017;303;Paris
04/13/2017;317;Paris
04/20/2017;321;Paris
04/27/2017;267;Paris
05/04/2017;186;Paris
05/11/2017;223;Paris
05/18/2017;185;Paris
05/25/2017;216;Paris
06/01/2017;289;Paris
06/08/2017;310;Paris
06/15/2017;228;Paris
06/22/2017;224;Paris
06/29/2017;229;Paris
07/06/2017;191;Paris
07/13/2017;175;Paris
07/20/2017;195;Paris
07/27/2017;180;Paris
08/03/2017;168;Paris
08/10/2017;174;Paris
08/17/2017;131;Paris
08/24/2017;150;Paris
08/31/2017;216;Paris
09/07/2017;188;Paris
09/14/2017;170;Paris
09/21/2017;183;Paris
09/28/2017;229;Paris
10/05/2017;182;Paris
10/12/2017;124;Paris
10/19/2017;2;Paris
10/26/2017;0;Paris
11/02/2017;0;Paris
11/09/2017;0;Paris
