Date;Finished game;Place
01/01/2015;0;Fremont
01/08/2015;0;Fremont
01/15/2015;0;Fremont
01/22/2015;0;Fremont
01/29/2015;0;Fremont
02/05/2015;0;Fremont
02/12/2015;0;Fremont
02/19/2015;0;Fremont
02/26/2015;0;Fremont
03/05/2015;0;Fremont
03/12/2015;0;Fremont
03/19/2015;0;Fremont
03/26/2015;0;Fremont
04/02/2015;0;Fremont
04/09/2015;0;Fremont
04/16/2015;0;Fremont
04/23/2015;0;Fremont
04/30/2015;0;Fremont
05/07/2015;0;Fremont
05/14/2015;0;Fremont
05/21/2015;0;Fremont
05/28/2015;0;Fremont
06/04/2015;0;Fremont
06/11/2015;0;Fremont
06/18/2015;0;Fremont
06/25/2015;0;Fremont
07/02/2015;0;Fremont
07/09/2015;0;Fremont
07/16/2015;0;Fremont
07/23/2015;0;Fremont
07/30/2015;0;Fremont
08/06/2015;0;Fremont
08/13/2015;1;Fremont
08/20/2015;0;Fremont
08/27/2015;1;Fremont
09/03/2015;1;Fremont
09/10/2015;1;Fremont
09/17/2015;0;Fremont
09/24/2015;0;Fremont
10/01/2015;0;Fremont
10/08/2015;0;Fremont
10/15/2015;0;Fremont
10/22/2015;0;Fremont
10/29/2015;0;Fremont
11/05/2015;0;Fremont
11/12/2015;0;Fremont
11/19/2015;0;Fremont
11/26/2015;0;Fremont
12/03/2015;0;Fremont
12/10/2015;0;Fremont
12/17/2015;0;Fremont
12/24/2015;0;Fremont
12/31/2015;0;Fremont
01/07/2016;0;Fremont
01/14/2016;1;Fremont
01/21/2016;0;Fremont
01/28/2016;0;Fremont
02/04/2016;0;Fremont
02/11/2016;0;Fremont
02/18/2016;0;Fremont
02/25/2016;1;Fremont
03/03/2016;0;Fremont
03/10/2016;0;Fremont
03/17/2016;0;Fremont
03/24/2016;0;Fremont
03/31/2016;0;Fremont
04/07/2016;0;Fremont
04/14/2016;0;Fremont
04/21/2016;2;Fremont
04/28/2016;0;Fremont
05/05/2016;1;Fremont
05/12/2016;400;Fremont
05/19/2016;994;Fremont
05/26/2016;417;Fremont
06/02/2016;291;Fremont
06/09/2016;214;Fremont
06/16/2016;178;Fremont
06/23/2016;130;Fremont
06/30/2016;119;Fremont
07/07/2016;115;Fremont
07/14/2016;132;Fremont
07/21/2016;116;Fremont
07/28/2016;141;Fremont
08/04/2016;79;Fremont
08/11/2016;253;Fremont
08/18/2016;156;Fremont
08/25/2016;137;Fremont
09/01/2016;109;Fremont
09/08/2016;124;Fremont
09/15/2016;97;Fremont
09/22/2016;85;Fremont
09/29/2016;62;Fremont
10/06/2016;70;Fremont
10/13/2016;47;Fremont
10/20/2016;88;Fremont
10/27/2016;88;Fremont
11/03/2016;81;Fremont
11/10/2016;126;Fremont
11/17/2016;88;Fremont
11/24/2016;79;Fremont
12/01/2016;97;Fremont
12/08/2016;85;Fremont
12/15/2016;73;Fremont
12/22/2016;63;Fremont
12/29/2016;72;Fremont
01/05/2017;103;Fremont
01/12/2017;71;Fremont
01/19/2017;74;Fremont
01/26/2017;91;Fremont
02/02/2017;102;Fremont
02/09/2017;62;Fremont
02/16/2017;76;Fremont
02/23/2017;98;Fremont
03/02/2017;94;Fremont
03/09/2017;65;Fremont
03/16/2017;78;Fremont
03/23/2017;73;Fremont
03/30/2017;91;Fremont
04/06/2017;74;Fremont
04/13/2017;72;Fremont
04/20/2017;57;Fremont
04/27/2017;41;Fremont
05/04/2017;60;Fremont
05/11/2017;66;Fremont
05/18/2017;73;Fremont
05/25/2017;114;Fremont
06/01/2017;250;Fremont
06/08/2017;195;Fremont
06/15/2017;138;Fremont
06/22/2017;86;Fremont
06/29/2017;127;Fremont
07/06/2017;103;Fremont
07/13/2017;123;Fremont
07/20/2017;123;Fremont
07/27/2017;82;Fremont
08/03/2017;96;Fremont
08/10/2017;121;Fremont
08/17/2017;83;Fremont
08/24/2017;188;Fremont
08/31/2017;101;Fremont
09/07/2017;120;Fremont
09/14/2017;159;Fremont
09/21/2017;142;Fremont
09/28/2017;134;Fremont
10/05/2017;138;Fremont
10/12/2017;153;Fremont
10/19/2017;120;Fremont
10/26/2017;121;Fremont
11/02/2017;125;Fremont
11/09/2017;27;Fremont
